id,name,parent_id
1,A Coruna,22090
2,Aachen,7974
3,Aalborg,5789
4,Aalen,7974
5,Aalst,2143
6,Aanekoski,7254
7,Aarau,22778
8,Aarhus,5789
9,Aasiaat,8453
10,Aba,16200
11,Abadan,24042
12,Abadla,486
13,Abaetetuba,3060
14,Abai,17557
15,Abakaliki,16200
16,Abakan,19881
17,Abancay,17894
18,Abashiri,10483
19,Abasolo,14593
21,Abaza,19881
22,Abbeville,7492
25,Abbots Langley,24246
26,Abbotsford,3794
27,Abbottabad,17407
28,Abdul Hakim,17407
29,Abdulino,19881
30,Abdurahmoni Jomi,22907
31,Abeche,4194
32,Abenberg,7974
33,Abengourou,5236
34,Abensberg,7974
35,Abeokuta,16200
36,Aberaman,24246
37,Aberbargoed,24246
38,Abercarn,24246
39,Abercynon,24246
40,Aberdare,24246
41,Aberdeen,24246
47,Abergavenny,24246
48,Abergele,24246
49,Abersychan,24246
50,Abertawe,24246
51,Abertillery,24246
52,Aberystwyth,24246
53,Abha,20833
54,Abidjan,5236
55,Abiko,10483
56,Abilene,24247
58,Abim,24155
59,Abingdon,24246
61,Abington,24247
63,Abinsk,19881
64,Abira,10483
65,Abohar,10093
66,Aboisso,5236
67,Abomey,2261
68,Abong Mbang,3755
69,Abony,9842
70,Abovyan,1024
71,Abra Pampa,985
72,Abram,24246
73,Abreus,5411
74,Abrisham,10188
75,Abrud,19663
76,Absecon,24247
77,Abu,10093
78,Abu Dhabi,24245
79,Abu Qir,6575
80,Abuja,16200
81,Abuna,3060
82,Abuzeydabad,10188
83,Acala,14593
84,Acambaro,14593
85,Acambay,14593
86,Acanceh,14593
87,Acapulco de Juarez,14593
88,Acarau,3060
89,Acarigua,24602
90,Acatlan,14593
91,Acatlan de Osorio,14593
92,Acatzingo,14593
93,Acaxochitlan,14593
94,Acayucan,14593
95,Accokeek,24247
96,Accra,7993
97,Accrington,24246
98,Achacachi,2794
99,Acheres,7492
100,Achern,7974
101,Achim,7974
102,Achinsk,19881
103,Acomb,24246
104,Aconibe,6834
105,Acquaviva,20424
106,Acs,9842
107,Acton,24246
110,Acton Vale,3794
111,Actopan,14593
113,Acu,3060
114,Acushnet,24247
115,Acworth,24247
116,Ad Dab`ah,6575
117,Ad Dali`,26302
118,Ad Dammam,20833
119,Ad Dilam,20833
120,Ad Dir`iyah,20833
121,Ad Dis ash Sharqiyah,26302
122,Ad Diwaniyah,10193
123,Ad Diwem,22532
124,Ad Duraykish,22798
125,Ada,21139
128,Adamantina,3060
129,Adams,24247
131,Adams Township,24247
133,Adana,24038
134,Adazi,12643
135,Addanki,10093
136,Addis,24247
137,Addis Ababa,6955
138,Addison,24247
140,Addlestone,24246
141,Adel,24246
143,Adelaide,1290
